2020-10-10 15:22:19.860 DEBUG -- [           main] .c.c.c.c.c.TomcatServletWebServerFactory : Code archive: C:\Users\lirikax\.m2\repository\org\springframework\boot\spring-boot\2.3.4.RELEASE\spring-boot-2.3.4.RELEASE.jar
2020-10-10 15:22:19.861 DEBUG -- [           main] .c.c.c.c.c.TomcatServletWebServerFactory : Code archive: C:\Users\lirikax\.m2\repository\org\springframework\boot\spring-boot\2.3.4.RELEASE\spring-boot-2.3.4.RELEASE.jar
2020-10-10 15:22:19.861 DEBUG -- [           main] .c.c.c.c.c.TomcatServletWebServerFactory : None of the document roots [src/main/webapp, public, static] point to a directory and will be ignored.
2020-10-10 15:22:19.892  INFO -- [           main] o.c.c.c.c.c.TomcatWebServer              : Tomcat initialized with port(s): 9090 (http)
2020-10-10 15:22:19.910  INFO -- [           main] o.c.c.c.Http11NioProtocol                : Initializing ProtocolHandler ["http-nio-9090"]
2020-10-10 15:22:19.911  INFO -- [           main] o.c.c.c.StandardService                  : Starting service [Tomcat]
2020-10-10 15:22:19.911  INFO -- [           main] o.c.c.c.StandardEngine                   : Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-10-10 15:22:20.014  INFO -- [           main] o.c.c.c.c.c.c.[/]                        : Initializing Spring embedded WebApplicationContext
2020-10-10 15:22:20.014 DEBUG -- [           main] c.c.c.ServletWebServerApplicationContext : Published root WebApplicationContext as ServletContext attribute with name [org.springframework.web.context.WebApplicationContext.ROOT]
2020-10-10 15:22:20.014  INFO -- [           main] c.c.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 832 ms
2020-10-10 15:22:20.016 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'requestContextFilter'
2020-10-10 15:22:20.018 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'formContentFilter'
2020-10-10 15:22:20.018 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration'
2020-10-10 15:22:20.021 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'characterEncodingFilter'
2020-10-10 15:22:20.025 DEBUG -- [           main] o.c.c.c.c.ServletContextInitializerBeans : Mapping filters: characterEncodingFilter urls=[/*] order=-2147483648, formContentFilter urls=[/*] order=-9900, requestContextFilter urls=[/*] order=-105
2020-10-10 15:22:20.025 DEBUG -- [           main] o.c.c.c.c.ServletContextInitializerBeans : Mapping servlets: dispatcherServlet urls=[/]
2020-10-10 15:22:20.040 DEBUG -- [           main] o.c.c.c.c.c.OrderedRequestContextFilter  : Filter 'requestContextFilter' configured for use
2020-10-10 15:22:20.040 DEBUG -- [           main] c.c.c.c.c.OrderedCharacterEncodingFilter : Filter 'characterEncodingFilter' configured for use
2020-10-10 15:22:20.040 DEBUG -- [           main] o.c.c.c.c.c.OrderedFormContentFilter     : Filter 'formContentFilter' configured for use
2020-10-10 15:22:20.046 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'javaApplication'
2020-10-10 15:22:20.047 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'entityController'
2020-10-10 15:22:20.053 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'utils'
2020-10-10 15:22:20.054 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'templateEngine'
2020-10-10 15:22:20.054 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$ThymeleafDefaultConfiguration'
2020-10-10 15:22:20.055 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'spring.thymeleaf-org.springframework.boot.autoconfigure.thymeleaf.ThymeleafProperties'
2020-10-10 15:22:20.060 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Autowiring by type from bean name 'templateEngine' via factory method to bean named 'spring.thymeleaf-org.springframework.boot.autoconfigure.thymeleaf.ThymeleafProperties'
2020-10-10 15:22:20.069 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'defaultTemplateResolver'
2020-10-10 15:22:20.070 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration'
2020-10-10 15:22:20.071 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration' via constructor to bean named 'spring.thymeleaf-org.springframework.boot.autoconfigure.thymeleaf.ThymeleafProperties'
2020-10-10 15:22:20.071 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration' via constructor to bean named 'org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@58bf8650'
2020-10-10 15:22:20.079 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'greetingController'
2020-10-10 15:22:20.079 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'postmanController'
2020-10-10 15:22:20.080 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2020-10-10 15:22:20.084 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.context.PropertyPlaceholderAutoConfiguration'
2020-10-10 15:22:20.084 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.websocket.servlet.WebSocketServletAutoConfiguration'
2020-10-10 15:22:20.085 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationBeanFactoryMetadata'
